name,status
Warhammer 40000 Space Marine,not started
Warhammer 40000 Space Marine 2,not started
Mechabellum,not started
Stardew Valley,not started
Coral Island,bought
Loop Hero,not started
Broken Edge,not started
DICEOMANCER,not started
ADACA,not started
Project Silverfish,not started
Neva,not started
UNDERDOGS,not started
Anger Foot,not started
Exo One,not started
Potion Craft Alchemist Simulator,not started
COMPOUND,not started
The Last Flame,not started
Deep Rock Galactic,not started
Astral Ascent,not started
WORLD OF HORROR,not started
Tactical Breach Wizards,not started
Bug Fables The Everlasting Sapling,not started
Ancient Dungeon,not started
Shady Knight,not started
Paradise Killer,not started
Battle Talent,not started
The Break-In,not started
Gorilla Tag,not started
Lil Gator Game,not started
DAVE THE DIVER,not started
Rune Teller,not started
CONSORTIUM VR,not started
Consortium THE TOWER,not started
Slay the Spire,not started
The Walking Dead Saints and Sinners,not started
Elite Dangerous,not started
RUINSMAGUS,not started
Chants of Sennaar,not started
UFO 50,not started
INDIKA,not started
Star Trucker,not started
SUPERHOT VR,not started
ANIMAL WELL,not started
Black Book,not started
The Axis Unseen,not started
Caves of Qud,not started
Kenshi,not started
MORDHAU,not started
Warhammer 40000 Mechanics,not started
Warhammer 40000 Mechanics 2,not started
BONELAB,not started
Subnautica,not started
Gamedec,not started
Into the Radius,not started
Pistol Whip,not started
Demon Turf,not started
BLACKTAIl,not started
Satisfactory,not started
Witchfire,not started
Kerbal Space Program,not started
Dungeons of Hinterberg,not started
Stellaris,not started
No Mans Sky,not started
Half-Life Alyx,not started
Grounded,not started
Mount and Blade 2 Bannerlord,not started
Mass Effect,finished
Mass Effect 2,finished
Mass Effect 3,finished
Mass Effect Andromeda,bought
Dragon Age Origins,finished
Dragon Age 2,finished
Dragon Age Inquisition,finished
Dragon Age The Veilguard,finished
STALKER 2 Heart of Chernobyl,not started
Starfield,not started
Sparkour,not started
ENENRA DAEMON CORE,not started
VA Proxy,not started
Electrokinetic,not started
Sorceress,not started
VOIN,not started
420BLAZEIT 2,not started
Usual June,not started
ABYSS X ZERO,not started
Quantum Beast,not started
Dice n Goblins,not started
Death Stranding,finished
Death Stranding 2,not started
Hibernation Day,finished
Risk of Rain 2,started
Scrap Mechanic,started
Session Skate Sim,started
Vampire Survivors,started
Duck Game, finished
Grand Theft Auto V,finished
Sid Meiers Civilization V,finished
Warhammer Vermintide,bought
Warhammer Vermintide 2,bought
We Were Here Expeditions The FriendShip,bought
Valheim,started
XCOM 2,bought
